objectid,parentid,surname,title,creator,date,date_range,date_is_approximate?,publisher,description,subject,location,latitude,longitude,source,identifier,type,format,extension,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
adamsfamily,,,Adams Family Compound Object,,,,,,,,,43.6094542,-116.3931117,,,record,compound_obect,,eng,,,compound_object,,,
adams_d1_compound,adamsfamily,adamsfamily,William Leroy Adams and Mary Armeda Daly Adams Family,,1835,1835-1975,yes,,"Family history for the William Adams (abt. Dec. 1860-Sept 15,1927) and Daly families.  Wife: Mary Armeda Daly Adams (Apr. 29, 1870-Aug. 23, 1929).  Children: Lloyd Filmore Adams (Aug. 6, 1889-Unknown), Loah Olive Voorhees (May 29, 1888-Feb 28. 1958)",genealogy,"Benton, Missouri;Meridian, Idaho;Los Angeles, California",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d1.pdf,/objects/small/col004_adams_d1_sm.jpg,/objects/thumbs/col004_adams_d1_th.jpg
adams_d2_compound,adamsfamily,adamsfamily,Dora Adams Ancestry Information,,1875,1875-1937,yes,Ancestry.com,"Ancestry information for multiple Dora Adams (Jan. 28, 1875-Nov. 11, 1937) family members as well as marriage and birth information. Husband: Silas Pallatiah Leighton (1867-1950).  Children:Iva Floy Leighton (1894-1981), Roy C. Leighton (1895-1915), Mabel Lorene Leighton (1898-1919).",genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d2.pdf,/objects/small/col004_adams_d2_sm.jpg,/objects/thumbs/col004_adams_d2_th.jpg
adams_d3_compound,adamsfamily,adamsfamily,The Family of Tarvin Adams and Mahalia Adams,,1835,1835-1966,yes,Ancestry.com,"Ancestry information for multiple Adams family members. Tarvin Adams (Nov. 18, 1835-Aug. 15, 1902). Mahala (or Mahalia) Jane Rowan (May 23, 1844-Mar. 20, 1903).  Children: William Leroy Adams (Dec. 1863-Unknown), Mary Erra Adams (Aug. 4, 1864-Dec. 5, 1933), Otis Adams (Sep. 12, 1871-Sep. 8, 1936), Cora B. Adams (Dec. 1872-Unknown), Louise May Adams (Dec. 7, 1877-Dec. 20, 1948), Frederick Adams (Jan. 1879-Unknown), Ada Adams (July 1883-Unknown), John E. Adams (April 1885-Unknown), Lester Leoran Adams (May 22, 1887-Mar. 3, 1966)",genealogy,"Meridian, Idaho;Putnam, MO",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d3.pdf,/objects/small/col004_adams_d3_sm.jpg,/objects/thumbs/col004_adams_d3_th.jpg
adams_d4_compound,adamsfamily,adamsfamily,Mahala Jane Rowan Overview,,1820,1820-1950,yes,Ancestry.com,Ancestry information for Mahala Jane Rowan,genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d4.pdf,/objects/small/col004_adams_d4_sm.jpg,/objects/thumbs/col004_adams_d4_th.jpg
adams_d5_compound,adamsfamily,adamsfamily,Tarvin Adams Overview,,1835,1835-1902,yes,Ancestry.com,Ancestry information for Tarvin Adams and additional family members.,genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d5.pdf,/objects/small/col004_adams_d5_sm.jpg,/objects/thumbs/col004_adams_d5_th.jpg
adams_d6_compound,adamsfamily,adamsfamily,Otis and Cora Weygandt Pruitt Adams Marriage License,,1931-05-04,,,,"Marriage License for Otis and Cora Adams. They were married in Dayton, Ohio on May 4, 1931.",genealogy;marriage licenses;legal,"Dayton, Ohio",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d6.pdf,/objects/small/col004_adams_d6_sm.jpg,/objects/thumbs/col004_adams_d6_th.jpg
adams_d7_compound,adamsfamily,adamsfamily,1880 United States Federal Census record for Tarvin Adams,,1880,,,Ancestry.com,Tarvin Adams Census,genealogy;census,"Putnam, Missouri",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d7.pdf,/objects/small/col004_adams_d7_sm.jpg,/objects/thumbs/col004_adams_d7_th.jpg
adams_d8_compound,adamsfamily,adamsfamily,Legal Document;Adams,,1902-11-21,,,,Mostly illegible legal document having something to do with the family of Otis Adams,genealogy;legal,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d8.pdf,/objects/small/col004_adams_d8_sm.jpg,/objects/thumbs/col004_adams_d8_th.jpg
adams_d9_compound,adamsfamily,adamsfamily,Brief entries from the Idaho Statesman and Meridian Times,,1897,1897-1919,yes,Meridian Times;Idaho Statesman,Brief snippets of information pertaining to the Adams family.  Building permits and business announcements.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d9.pdf,/objects/small/col004_adams_d9_sm.jpg,/objects/thumbs/col004_adams_d9_th.jpg
adams_d1,,Adams,William Leroy Adams and Mary Armeda Daly Adams Family,,1835,1835-1975,yes,,"Family history for the William Adams (abt. Dec. 1860-Sept 15,1927) and Daly families.  Wife: Mary Armeda Daly Adams (Apr. 29, 1870-Aug. 23, 1929).  Children: Lloyd Filmore Adams (Aug. 6, 1889-Unknown), Loah Olive Voorhees (May 29, 1888-Feb 28. 1958)",genealogy,"Benton, Missouri;Meridian, Idaho;Los Angeles, California",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d1.pdf,/objects/small/col004_adams_d1_sm.jpg,/objects/thumbs/col004_adams_d1_th.jpg
adams_d2,,Adams,Dora Adams Ancestry Information,,1875,1875-1937,yes,Ancestry.com,"Ancestry information for multiple Dora Adams (Jan. 28, 1875-Nov. 11, 1937) family members as well as marriage and birth information. Husband: Silas Pallatiah Leighton (1867-1950).  Children:Iva Floy Leighton (1894-1981), Roy C. Leighton (1895-1915), Mabel Lorene Leighton (1898-1919).",genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d2.pdf,/objects/small/col004_adams_d2_sm.jpg,/objects/thumbs/col004_adams_d2_th.jpg
adams_d3,,Adams,The Family of Tarvin Adams and Mahalia Adams,,1835,1835-1966,yes,Ancestry.com,"Ancestry information for multiple Adams family members. Tarvin Adams (Nov. 18, 1835-Aug. 15, 1902). Mahala (or Mahalia) Jane Rowan (May 23, 1844-Mar. 20, 1903).  Children: William Leroy Adams (Dec. 1863-Unknown), Mary Erra Adams (Aug. 4, 1864-Dec. 5, 1933), Otis Adams (Sep. 12, 1871-Sep. 8, 1936), Cora B. Adams (Dec. 1872-Unknown), Louise May Adams (Dec. 7, 1877-Dec. 20, 1948), Frederick Adams (Jan. 1879-Unknown), Ada Adams (July 1883-Unknown), John E. Adams (April 1885-Unknown), Lester Leoran Adams (May 22, 1887-Mar. 3, 1966)",genealogy,"Meridian, Idaho;Putnam, MO",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d3.pdf,/objects/small/col004_adams_d3_sm.jpg,/objects/thumbs/col004_adams_d3_th.jpg
adams_d4,,Adams,Mahala Jane Rowan Overview,,1820,1820-1950,yes,Ancestry.com,Ancestry information for Mahala Jane Rowan,genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d4.pdf,/objects/small/col004_adams_d4_sm.jpg,/objects/thumbs/col004_adams_d4_th.jpg
adams_d5,,Adams,Tarvin Adams Overview,,1835,1835-1902,yes,Ancestry.com,Ancestry information for Tarvin Adams and additional family members.,genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d5.pdf,/objects/small/col004_adams_d5_sm.jpg,/objects/thumbs/col004_adams_d5_th.jpg
adams_d6,,Adams,Otis and Cora Weygandt Pruitt Adams Marriage License,,1931-05-04,,,,"Marriage License for Otis and Cora Adams. They were married in Dayton, Ohio on May 4, 1931.",genealogy;marriage licenses;legal,"Dayton, Ohio",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d6.pdf,/objects/small/col004_adams_d6_sm.jpg,/objects/thumbs/col004_adams_d6_th.jpg
adams_d7,,Adams,1880 United States Federal Census record for Tarvin Adams,,1880,,,Ancestry.com,Tarvin Adams Census,genealogy;census,"Putnam, Missouri",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d7.pdf,/objects/small/col004_adams_d7_sm.jpg,/objects/thumbs/col004_adams_d7_th.jpg
adams_d8,,Adams,Legal Document;Adams,,1902-11-21,,,,Mostly illegible legal document having something to do with the family of Otis Adams,genealogy;legal,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d8.pdf,/objects/small/col004_adams_d8_sm.jpg,/objects/thumbs/col004_adams_d8_th.jpg
adams_d9,,Adams,Brief entries from the Idaho Statesman and Meridian Times,,1897,1897-1919,yes,Meridian Times;Idaho Statesman,Brief snippets of information pertaining to the Adams family.  Building permits and business announcements.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d9.pdf,/objects/small/col004_adams_d9_sm.jpg,/objects/thumbs/col004_adams_d9_th.jpg
aiken_d1,,Aiken,Biography of Ira L. Aiken,,1869,,,History of Idaho,"Excerpt from the ""History of Idaho"" book regarding the life of Ira L. Aiken (Feb. 14, 1869-1939).  The excerpt discusses his journey to Idaho and his contributions to Meridian's agriculture.  He was married to Ada Rambo (1875-Unknown)",biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_aiken_d1.pdf,/objects/small/col004_aiken_d1_sm.jpg,/objects/thumbs/col004_aiken_d1_th.jpg
allen_d1,,Aiken,Biography of Orville Allen,,1867,1867-1907,yes,History of Idaho,"Excerpt from the ""History of Idaho"" book regarding the life of Orville Allen (Aug. 12, 1867-Dec. 31, 1906) move to Meridian and his subsequent life as a rancher and community activist. Wife: Ella Ross (Dec. 23, 1869). Children: Ralph Kenneth (Jan. 17, 1894-Jan. 25, 1920), Gladys (Oct. 25, 1898-1994), Eli Ross (June 7, 1907).",biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_allen_d1.pdf,/objects/small/col004_allen_d1_sm.jpg,/objects/thumbs/col004_allen_d1_th.jpg
allison_d1,,Allison,Biography of Oliver E. Allison,,1873,1873-1920,yes,History of Idaho,"Excerpt from the ""History of Idaho"" book regarding Oliver E. Allison (Jul. 12, 1873-Unknown) and his life in Meridian Idaho. The Allison family began life as ranchers, owning five ranches in Ada County.  Oliver and Hattie Allison were active participants in their community. Wife: Hattie Lula Brannan (Feb. 10, 1873-Unknown). Children: Oliver E. Allison (Jul., 7, 1894-Sep. 24, 1982, Jr. and Wilfred David Allison (?-Jul. 21, 1918).",biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_allison_d1.pdf,/objects/small/col004_allison_d1_sm.jpg,/objects/thumbs/col004_allison_d1_th.jpg
ambrose_d1,,Ambrose,Biography On Grant Lewis Ambrose,,1957-12-26,,,Meridian Times,Biography on Grant Lewis Ambrose,biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_ambrose_d1.pdf,/objects/small/col004_ambrose_d1_sm.jpg,/objects/thumbs/col004_ambrose_d1_th.jpg
anderson_d1,,Anderson,Anderson's Meridian Home,,1910,,yes,,Early photocopied image of the Anderson home on Broadway and Meridian.,houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d1.pdf,/objects/small/col004_anderson_d1_sm.jpg,/objects/thumbs/col004_anderson_d1_th.jpg
anderson_d2,,Anderson,"""Meridian, the Heart of the Boise Valley""",,1911-09-29,,,Meridian Times,"A 1911 Meridian Times article discussing city life.  Shows a caricature of Mayor James Anderson, among other prominent Meridian residents.",newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d2.pdf,/objects/small/col004_anderson_d2_sm.jpg,/objects/thumbs/col004_anderson_d2_th.jpg
anderson_d3,,Anderson,J.M. Anderson: Pioneer and Owner Anderson Addition,,1911,,yes,,Newspaper article discussing J.M. Anderson and his Meridian business ventures.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d3.pdf,/objects/small/col004_anderson_d3_sm.jpg,/objects/thumbs/col004_anderson_d3_th.jpg
anderson_d4,,Anderson,"""J. Matt Anderson Pays Tribute to Pioneers""",,1926-12-18,,,Meridian Times,Newspaper article in which J. Matt Anderson discusses the importance of talking to the older residents to appreciate and remember Meridian's history.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d4.pdf,/objects/small/col004_anderson_d4_sm.jpg,/objects/thumbs/col004_anderson_d4_th.jpg
anderson_d5,,Anderson,Memories from Julia (Anderson) Lewis,Julia Anderson Lewis,1963-02-02,,,,"A personal account of the Anderson family's life in Meridian, Idaho.  Julia (Anderson) Lewis discusses her life as a pioneer in Meridian with parents James and Hulda Anderson and her siblings. The Anderson family came to Meridian in 1876 from Missouri (via the Oregon Trail) with a group of other families.",memoirs,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d5.pdf,/objects/small/col004_anderson_d5_sm.jpg,/objects/thumbs/col004_anderson_d5_th.jpg
anderson_d6,,Anderson,Brief Newspaper Clippings Related to the Anderson Family,,1905,1905-1931,yes,Meridian Times;Idaho Statesman,Several snippets of content seemingly gathered from newspaper articles regarding the Anderson family community participation.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d6.pdf,/objects/small/col004_anderson_d6_sm.jpg,/objects/thumbs/col004_anderson_d6_th.jpg
anderson_d8,,Anderson,The Family of James M. Anderson and Hulda Cloud Anderson,,1848,1848-1978,yes,Meridian Times;Idaho Statesman,"Several newspaper articles.  One discusses the 60th wedding anniversary of James Madison (Jan. 28, 1848-Jan 12, 1931) and Hulda  Cloud (Mar. 23, 1853-Apr. 13, 1932) Anderson's 60th wedding anniversary in 1919.  Also, an obituary for James M. Anderson who died in 1931. James Madison's mother came from Boone Co., Arkansas in 1876, his father having died prior to their move.  Children of James and Hulda: Bertha Nora (Apr. 10, 1872-Oct. 30, 1946), William Matthew (Sep. 26, 1874-May 12, 1942), Mary Lula (Jan. 28, 1877-Jun. 11, 1920), Joseph Walter (May 1879-Nov. 5, 1880), Bessie Margaret (Jun. 21, 1881), Elizabeth Leona (Apr. 1, 1883-Oct. 14, 1945), Julia Isabelle (Dec. 24, 1885-Aug. 7, 1978), Frank James ""Duke"" (Jan. 26, 1888-Aug. 19, 1951).",obituaries;anniversaries;newspaper articles;biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d8.pdf,/objects/small/col004_anderson_d8_sm.jpg,/objects/thumbs/col004_anderson_d8_th.jpg
anderson_ph1,,Anderson,Image of the Anderson Furniture Store,,1910,1905-1915,yes,,".JPG image of the Anderson Furniture Store with James, Hulda and Child in front.",businesses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Image;StillImage,image/jpeg,jpg,eng,,,image,/objects/col004_anderson_ph1.jpg,/objects/small/col004_anderson_ph1_sm.jpg,/objects/thumbs/col004_anderson_ph1_th.jpg
anderson_ph2,,Anderson,Image of the Anderson Family's Home -1,,1994,,,,Contemporary image #1 of the Anderson home near Broadway and Meridian.,houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Image;StillImage,image/jpeg,jpg,eng,,,image,/objects/col004_anderson_ph2.jpg,/objects/small/col004_anderson_ph2_sm.jpg,/objects/thumbs/col004_anderson_ph2_th.jpg
anderson_ph3,,Anderson,Image of the Anderson Family's Home -2,,1994,,,,Contemporary image #2 of the Anderson home near Broadway and Meridian.,houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Image;StillImage,image/jpeg,jpg,eng,,,image,/objects/col004_anderson_ph3.jpg,/objects/small/col004_anderson_ph3_sm.jpg,/objects/thumbs/col004_anderson_ph3_th.jpg
anderson_d10,,Anderson,Meridian Building and Loan Association Bank Book of J. Matt Anderson,,1926,,,,"This is an original bank book from the Meridian Building and Loan Association, previously Meridian State Bank, Ltd. The book belonged to J. Matt Anderson.",banks,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC4",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_anderson_d10.pdf,/objects/small/col004_anderson_d10_sm.jpg,/objects/thumbs/col004_anderson_d10_th.jpg
atwater_d1,,Atwater,Biography of E. Francis Atwater,,1881,1881-1920,yes,History of Idaho,"Excerpt from the ""History of Idaho"" book regarding the life of E. Francis Atwater (Jan 18, 1881-Dec 6, 1924).  E. Francis Atwater's father was George E. Atwater.  The excerpt discusses his life as one of Meridian's first apiarists. Mr. Atwater married Fay Gwendolyn Nesbit on Feb. 11, 1911 and they had one daughter, Fay Marguerite.",apiarists;biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_atwater_d1.pdf,/objects/small/col004_atwater_d1_sm.jpg,/objects/thumbs/col004_atwater_d1_th.jpg
atwater_d2,,Atwater,Newspaper clippings regarding E. Francis Atwater,,1910,1910-1914,,Meridian Times,Two Meridian Times new clippings regarding foundation work for Geo. E. Atwater (Father of E. Francis Atwater) and apiarist supplies.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_atwater_d2.pdf,/objects/small/col004_atwater_d2_sm.jpg,/objects/thumbs/col004_atwater_d2_th.jpg
atwater_d3,,Atwater,Atwater Family Images,,1911,,yes,,"Photocopy images depicting the Atwater family, a farm and beekeeping business.",apiarists;houses;homesteads;wagons,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_atwater_d3.pdf,/objects/small/col004_atwater_d3_sm.jpg,/objects/thumbs/col004_atwater_d3_th.jpg
badley_d1,,Badley,Biography of Oscar V. Badley,,1851,1851-1912,yes,History of Idaho,"Excerpt from the ""History of Idaho"" book regarding the life of Oscar V. Badley (Nov. 1873- Sep. 30, 1945) and family. Durbin L. Badly was Oscar's father. The Badley family came to Meridian from the midwest in 1881. Badley pursued mining at Silver City for several years, married, became a businessman and was active in politics. Wife: Flora Louise Smith. Children: Jay (or Joy) E. (Aug. 9, 1899-1956), Clare Vernon (1902-1967), Lulu May (1905 or 1906-1985, Thomas Wayne (1907-1987), Nella Isa (1910-1985), Elizabeth (1912-1972).",biographies,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_badley_d1.pdf,/objects/small/col004_badley_d1_sm.jpg,/objects/thumbs/col004_badley_d1_th.jpg
badley_d2,,Badley,Brief Newspaper Clippings regarding Durbin L. Badley,,1898,1898-1919,yes,Meridian Times;Idaho Statesman,Newspaper clippings regarding property sales and road improvements.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_badley_d2.pdf,/objects/small/col004_badley_d2_sm.jpg,/objects/thumbs/col004_badley_d2_th.jpg
badley_d3,,Badley,Newspaper Article about D.L Badley and Mrs. D.L. Badley and their involvement in community activities,,1904-06-04,,,The Evening Bulletin,Newspaper article describing D.L. Badley's involvement with the Idaho Odd Fellows.  Mrs. Badley is pictured as past president of the Rebekah State Assembly.,newspaper articles;odd fellows,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_badley_d3.pdf,/objects/small/col004_badley_d3_sm.jpg,/objects/thumbs/col004_badley_d3_th.jpg
baird_d1,,Baird,Meridian Needs Water Works!,,1909-10-22,1909-1912,yes,,Several articles discussing the need for a Meridian water works system to supply clean water to properties.  J.F. Baird acted as secretary at a meeting to further discuss the system.,water works;newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_baird_d1.pdf,/objects/small/col004_baird_d1_sm.jpg,/objects/thumbs/col004_baird_d1_th.jpg
baird_d2,,Baird,Various Meridian Times Articles,,1912,,,Meridian Times,"Several newspaper articles discussing the water works system. There is no 'Baird' mentioned, but J.M. Anderson is mentioned as Mayor of Meridian.",newspaper articles;water works,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_baird_d2.pdf,/objects/small/col004_baird_d2_sm.jpg,/objects/thumbs/col004_baird_d2_th.jpg
baird_d3,,Baird,Meridian Times Brief Article Clippings,,1910,1910-1912,,Meridian Times,Several newspaper clippings regarding John F. Baird and his construction requests.,newspaper articles;odd fellows,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_baird_d3.pdf,/objects/small/col004_baird_d3_sm.jpg,/objects/thumbs/col004_baird_d3_th.jpg
baird_d4,,Baird,Photocopy Images of Baird Family,,1910,,yes,,"Copies of Baird family members. <br>Top left: Bertha, Francis, Luelle, John<br>Top right: Francis Baird<br>Lower left: Street scene in Manila<br>Lower right: Luelle and Francis Baird",families;portraits;houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_baird_d4.pdf,/objects/small/col004_baird_d4_sm.jpg,/objects/thumbs/col004_baird_d4_th.jpg
baird_ph1,,Baird,Mrs. Bertha Baird,,1952,,yes,,Image of Mrs. Bertha Baird standing in front of home,woman;houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Image;StillImage,image/jpeg,jpg,eng,,,image,/objects/col004_baird_ph1.jpg,/objects/small/col004_baird_ph1_sm.jpg,/objects/thumbs/col004_baird_ph1_th.jpg
baird_ph2,,Baird,Three Friends,,1952-06-01,,,,"Left: Betty [Hudson?], Middle: Francis Baird, Right: Mrs. Bertha Baird",women;houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Image;StillImage,image/jpeg,jpg,eng,,,image,/objects/col004_baird_ph2.jpg,/objects/small/col004_baird_ph2_sm.jpg,/objects/thumbs/col004_baird_ph2_th.jpg
baird_d5,,Baird,Photocopy Images of Baird Family,,1955,,yes,,Luelle and Francis Baird and three males.,men;women;houses,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_baird_d5.pdf,/objects/small/col004_baird_d5_sm.jpg,/objects/thumbs/col004_baird_d5_th.jpg
baird_d6,,Baird,Photocopy Portrait of John and Bertha Baird,,1910,,yes,,John and Bertha Baird,men;women;portraits,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,end,,,pdf,/objects/col004_baird_d6.pdf,/objects/small/col004_baird_d6_sm.jpg,/objects/thumbs/col004_baird_d6_th.jpg
baldwin_d1,,Baldwin,Biography of Edward Baldwin,,1878,1878-1911,yes,History of Idaho,"Excerpt from the ""History of Idaho"" book regarding the life of Edward Baldwin and family. Baldwin was a rancher and married Orpha Amack from Missouri.  Wife: Orpha (Amack) Baldwin (Oct. 3, 1884) married Edward on January 13th, 1906.  Children: Lee (Mar. 27, 1897), Evelyn (Dec 2, 1908), Paul (Mar. 31, 1910), Mary (Dec. 25, 1911).",biographies;odd fellows,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_baldwin_d1.pdf,/objects/small/col004_baldwin_d1_sm.jpg,/objects/thumbs/col004_baldwin_d1_th.jpg
ball_d2,,Ball,"""Clyde Ball recalls early days in Meridian""",,1948-01-15,,,Meridian Times,"Meridian Times article discussing the memories of Meridian resident Clyde Ball. Mr. Ball came to Meridian in January of 1908.  He saw many changes in the 40 years he resided in Meridian.  He talks about the early school system, the Meridian baseball team and local businesses.",newspaper articles;biographies;memoirs;odd fellows,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_ball_d2.pdf,/objects/small/col004_ball_d2_sm.jpg,/objects/thumbs/col004_ball_d2_th.jpg
ball_d3,,Ball,Pedigree Chart of Ball Family,,1997-06-04,,,,Reynolds and Ball family genealogy chart.  Family lineage dates back to the 1802 when George Gorman emigrated from England.,genealogy,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_ball_d3.pdf,/objects/small/col004_ball_d3_sm.jpg,/objects/thumbs/col004_ball_d3_th.jpg
ball_d5,,Ball,Clyde Ball Obituary,,1965-02-25,,,,"Newspaper Obituary for Clyde Ball. Clyde was born in Weiser, Idaho on Feb. 28, 1903 and died in Feb. 1965.",obituaries,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_ball_d5.pdf,/objects/small/col004_ball_d5_sm.jpg,/objects/thumbs/col004_ball_d5_th.jpg
ball_d8,,Ball,Meridian High School Baseball Team,,1906,,,,"Left to Right:Dee Heron, Frank Long, Homer Champlin, Ed Hartman (water boy), Sam Williamson, Jim Wagoner (who was last survivor - 1965), Frank Anderson, Frank Wood, Lloyd Adams, Ray Chapman. Note from image contributor, Marty Bennett:  ""Two if the pictured players are relatives on my wife's side of the family"" (Homer Champlin and James Alfred Wagoner) ",families;portraits;houses;baseball,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC2",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_ball_d8.pdf,/objects/small/col004_ball_d8_sm.jpg,/objects/thumbs/col004_ball_d8_th.jpg
